id,site,species,species_site,transect,rhodolith_number,length_x,width_y,height_z,buoyant_weight,volume,volume_free_space,tip_number
3003,KWB,Sporolithon,Sporolithon_KWB,T101,R4,66,56.6,46,9.87,5.856697819,84.11725914,
3004,KWB,Sporolithon,Sporolithon_KWB,T101,R5,64,53.3,47.5,11.97,7.102803738,77.73695307,10
3005,KWB,Sporolithon,Sporolithon_KWB,T101,R6,56.1,52.4,47.7,10.62,6.301735648,67.11771821,
3006,KWB,Sporolithon,Sporolithon_KWB,T101,R7,63.5,46,42.8,9.3,5.51846907,59.94122154,6.8
3007,KWB,Sporolithon,Sporolithon_KWB,T101,R8,60.3,49.3,44.7,16.35,9.701824655,59.87592477,
3008,KWB,Sporolithon,Sporolithon_KWB,T101,R9,51.1,46.5,33.5,9.3,5.51846907,36.16053016,
321,KWB,Sporolithon,Sporolithon_KWB,T4,R1,57.4,47.4,36.8,47.06,27.92464026,24.50014679,
322,KWB,Sporolithon,Sporolithon_KWB,T4,R2,53.3,53.1,40.2,16.28,9.660287791,49.91229171,6.8
323,KWB,Sporolithon,Sporolithon_KWB,T4,R3,51.8,50.4,49.3,27.1,16.08070019,51.31091072,
324,KWB,Sporolithon,Sporolithon_KWB,T4,R4,50,43,36,14.68,8.710873758,31.81567147,
325,KWB,Sporolithon,Sporolithon_KWB,T4,R5,51,43,41,20.05,11.89734461,35.1809921,7.8
326,KWB,Sporolithon,Sporolithon_KWB,T4,R6,55,44,39,23.62,14.01572467,35.40152777,
327,KWB,Sporolithon,Sporolithon_KWB,T4,R7,65,55,42,28.12,16.68595164,61.93240452,
328,KWB,Sporolithon,Sporolithon_KWB,T4,R8,54,32,30,11.4,6.764574989,20.37878554,7.4
329,KWB,Sporolithon,Sporolithon_KWB,T4,R9,52,34,28,11.14,6.610295208,19.30993858,
316,KWB,Sporolithon,Sporolithon_KWB,T6,R1,67.9,67.1,66.9,20.69,12.27711022,147.3170642,
317,KWB,Sporolithon,Sporolithon_KWB,T6,R2,50.8,41.8,37.4,18.92,11.22682095,30.3556429,
318,KWB,Sporolithon,Sporolithon_KWB,T6,R3,55.6,49.6,36.1,41.32,24.51861742,27.6083299,
319,KWB,Sporolithon,Sporolithon_KWB,T6,R4,50.7,46.6,36,18.65,11.06660733,33.46773048,
320,KWB,Sporolithon,Sporolithon_KWB,T6,R5,55.6,49.6,49.6,16.75,9.939178163,61.6812259,
335,MTA,Sporolithon,Sporolithon_MTA,T10,R1,31.5,21,21,4.8,2.848242101,4.425330291,8.2
336,MTA,Sporolithon,Sporolithon_MTA,T10,R2,32,28,26,5.3,3.144933986,9.05282309,7.6
337,MTA,Sporolithon,Sporolithon_MTA,T10,R3,30,22,19,3.89,2.308262869,4.257665777,
338,MTA,Sporolithon,Sporolithon_MTA,T10,R4,41,37,23,9.27,5.500667557,12.76821732,
339,MTA,Sporolithon,Sporolithon_MTA,T10,R5,35,22,19,2.37,1.406319537,6.25393055,
2502,MTA,Sporolithon,Sporolithon_MTA,T110 Q20,RL,25.54,14.28,12.38,0.64,0.379765613,1.984348128,4.2
2500,MTA,Sporolithon,Sporolithon_MTA,T110 Q20,RM,25.07,19.16,16.56,0.79,0.468773179,3.696167244,5
2516,MTA,Sporolithon,Sporolithon_MTA,T110 Q20,RN,26.86,19,12.06,0.69,0.409434802,2.813158792,4.2
0,MTA,Sporolithon,Sporolithon_MTA,T111 Q24,RY,23.2,20.8,16.66,1.06,0.628986797,3.58045917,3.6
2506,MTA,Sporolithon,Sporolithon_MTA,T111 Q24,RZ,24.17,16.23,14.43,0.5,0.296691885,2.667184753,2.6
3026,MTA,Sporolithon,Sporolithon_MTA,T112,R6,26.8,24,20.6,1.87,1.109627652,5.828014237,10.2
3027,MTA,Sporolithon,Sporolithon_MTA,T112,R7,33.5,26,21,1.98,1.174899866,8.402245338,6.6
3028,MTA,Sporolithon,Sporolithon_MTA,T112,R8,36.5,25.3,18.4,2.19,1.299510458,7.597207665,8
526,MTA,Sporolithon,Sporolithon_MTA,T12,R1,35,22,20,2.78,1.649606883,6.413814261,
527,MTA,Sporolithon,Sporolithon_MTA,T12,R2,38,24,16,4.72,2.800771399,4.839581935,
528,MTA,Sporolithon,Sporolithon_MTA,T12,R3,27,27,25,3.9,2.314196707,7.228390979,
529,MTA,Sporolithon,Sporolithon_MTA,T12,R4,26,26,25,2.74,1.625871532,7.222947775,
530,MTA,Sporolithon,Sporolithon_MTA,T12,R5,36,28,20,3.78,2.242990654,8.312760662,
